URL;Date ;Type d'url;Type d'acteurs;Thème dans la controverse;Position;Poids;Lu en détail
https://lejournal.cnrs.fr/articles/crispr-cas9-des-ciseaux-genetiques-pour-le-cerveau;03/05/2016;Article;Scientifiques;;Explicative;;oui
http://www.leparisien.fr/sciences/edition-du-genome-l-academie-des-sciences-entrouvre-le-debat-21-02-2017-6700080.php;21/02/2017;Article;Organisation citoyenne;Bases;Reservée;Modéré;oui
https://fr.linkedin.com/pulse/crisprcas9-un-débat-sur-la-modification-du-génome-ou-le-solveig-fenet;14/01/2017;Article;Inserm;;Pour mais réservée;Modéré;oui
http://www.alliancevita.org/2016/04/crispr-cas9-et-lembryon-humain-le-debat-souvre-en-france/;08/04/2017;Article et Vidéo;Alliance Vita;;Neutre;Modéré;non
https://iatranshumanisme.com/2017/02/06/pourquoi-le-systeme-crisprcas9-est-il-revolutionnaire/;06/02/2017;Blog;Scientifiques;;Pro recherche;;oui
http://sciencescitoyennes.org/crispr-cas9-a-lacademie-des-sciences-lethique-au-temps-du-carnaval/;20/02/2017;Blog;Sciences Citoyennes;débat Académie des Sciences;Pro débat;Fort;oui
http://www.inserm.fr/index.php/espace-journalistes/les-enjeux-ethiques-de-la-technologie-crispr-cas9;30/06/2017;Article;Inserm;;Pro débat recherche précaution;Fort;oui
https://www.youtube.com/watch?v=X1jSI5LqpAA;23/02/2017;Vidéo;Inserm + Sciences Citoyennes;débat conséquences;Explicative + débat;Important;non
http://www.alliancevita.org/2016/05/stop-bebe-ogm-une-campagne-citoyenne-dalerte-sur-crispr-cas9/;24/05/2016;Communiqué de presse;Alliance Vita;Bébé OGM;Contre (pétition);Important;oui
http://www.famillechretienne.fr/politique-societe/bioethique/une-campagne-citoyenne-d-alerte-sur-les-dangers-du-crispr-cas9-194952;24/05/2016;Article;Famille Chrétienne;Bébé OGM;Contre ;Important;oui
http://www.afc-boulogne.com/manifs-petitions/stop-bebe-ogm-oui-au-progres-therapeutique-non-a-lembryon-transgenique.html;31/05/2017;Blog;Association Famille Catholique;Bébé OGM;Contre;Important;oui
http://www.alliancevita.org/2016/05/cp-un-sondage-qui-donne-sens-a-lalerte-nationale-stop-bebe-ogm/;26/05/2016;Article;Alliance Vita;Bébé OGM;Pro débat (pétition);Fort;oui
http://homme-et-espace.over-blog.com/2016/01/boite-de-pandore-le-choc-crispr-cas9-aucune-espece-ne-lui-resiste.html;06/01/2016;Blog;Particulier;;Pro recherche;Important;oui
http://albertbarrois.blogspot.fr/2015/03/lhistoire-du-nouvel-outil-de.html;30/03/2017;Blog;Particulier;Vitesse de développement de la technique;Neutre;;oui
https://www.infogm.org/5744-crispr-cas9-des-nouveaux-ciseaux-a-adn;oct-14;Article;Citoyens;;Explicative;Modéré;non
http://www.larminat.fr/les2ailes/index.php?option=com_content&view=article&id=61:stop-bebe-ogm-une-petition-faisant-le-jeu-des-anti-specistes&catid=24&Itemid=101;29/05/2017;Article;Association Religieuse;Débat;Pro débat;Modéré;oui
http://www.spiritualite-chretienne.com/pro-vie/actualite.html;23/05/2016;Blog;Association Religieuse;Bébé OGM;Contre (pétition);;oui
http://www.alliancevita.org/2016/02/crispr-cas9-la-modification-du-genome-humain-en-question/;09/02/2016;Article;Alliance Vita;;Explicative + débat sur l'usage;Important;oui
https://fr.sott.net/article/21032-Frankenfish-enviropig-et-chevre-araignee-symboles-d-une-science-degeneree;03/05/2014;Article;Association;Modification animale (état des lieux);Présentation;Modéré;oui
