Acteurs politiques de la controverse CRISPR-Cas 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Institutions ;UNESCO;Communauté internationale des chercheurs -> Société civile ? ;Assemblée Nationale;Office Parlementaire des Choix d’Evaluation Scientifiques et Techniques (OPECST);INSERM (Institut National de la Santé et de la Recherche ;Secrétariat Général de la Défense et de la Sécurité Nationale ( b);Académie des Sciences;Haut Conseil des Biotechnologies (HCB);Comité National Consultatif pour la Biosécurité (CNCB);CIA;Conseil de l’Europe;Comité Bioéthique du Conseil de l’Europe (DH - BIO);Greenpeace;NIH (mité consultatif de l'Institut National américain de la Santé);CNDP (Comité Nationale du Débat Public) ;Communauté internationale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonction ;Consultative;Consultative ET Législative;Législative;Consultative;Coordinatrice et législative;Exécutive;Consultative ;Consultative ;Consultative;Législative et renseignements. ;Consultative;Consultative;Prise de position et relais d’information. Activisme.;Consultative;Organiser un débat public;Appel à un moratoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Missions ;Protéger le patrimoine mondial de l’humanité.;Produire des traités que des pays peuvent ratifier.;Faire des lois.;Emet des recommandations.;assurer la coordination stratégique, scientifique et opérationnelle de la recherche biomédicale;Appliquer la loi et assurer la sécurité et la défense nationale;Emettre des recommandations  pour la recherche. ;Emettre des recommandations à l’échelle nationale.;Se prémunir contre les menaces sur la biosécurité;(en l’occurence) statuer sur la dangerosité d’un produit chimique.;Emettre des recommandations  à l’échelle européenne;id.;Appeler à respecter un principe de précaution absolu.;Emettre des recommandations  aux USA;;https://viacampesina.org/fr/images/stories/pdf/GeneDrivesignonLetter.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Position;Contre.;Mitigée. Favorise la recherche mais avec d’extrêmes précautions.;Pour une plus grande sécurité.;Pour.;Pour la recherche sur le CRISPR CAS 9 dans tous ses aspects.;Inquiet -> Création du CNCB.;Mitigée.;Mitigée.;Pour. Avis ≠ de la CIA.;Contre. ;La prudence.;Cf conseil de l’Europe. Toujours en délibération.;Absolument contre.;POUR.;Pas encore invoqué. ;Contre.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veto - player en France ?;;Non.;Oui.;Oui.;Oui;Oui.;Non.;Non.;Non.;Non.;Non.;;Non.;Non.;;Non.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veto - player dans le monde ?;Oui.;Non.;Non.;Non.;Non.;Non.;Non.;Non.;Non.;Oui.;Non.;;Non.;Non.;;Non.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Légitimité  en France;Avérée;Avérée. ;Absolue.;Absolue (institution).;Absolue.;Absolue.;Institutionelle.;Institutionnelle.;Oui - dépend de l’académie des sciences.;Certaine.;avérée;;Minime.;Relative à la communauté scientifique;;Nulle.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intérêt;Culturels et éthiques.;scientifique et éthique.;Sécurité.;Ethique et sécurité.;Scientifique, éthique et sécurité.;Sécurité.;Scientifique, éthique et sécuritaire.;Sécurité et Ethique.;Sécurité et éthique.;Politique et relatif à la défense.;Ethique.;;Sécuritaire.;Recherche.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Production ;Inscription du génome humain au patrimoine mondial de l’humanité.;Convention d’Oviedo.;Art. L2141 - 2 du code de la santé publique/ Art. 16-4 du code civil / loi du 6 août 2013/loi n’2016-41 du 26 janvier 2016 de modernisation du système de santé;Rapport sur Crispr-cas9.;"Saisine concernant les questions liées au développement de la technologie CRISPR.
";Création du CNCB en 2015.;;Appel à ses deux comités: CS (scientifique) et CEES (Economique Ethique et Social) -> publication du CNCB.;Rapport en Fev. 2017;rapport déclassifié en février 2016.;Le recours aux nouvelles technologies génétiques chez les êtres humains.;;Communiqués de presse. Appelle à ce que les organismes modifiés au Crispr-cas9 (comme le riz doré) soient soumis à la règlementation des OGM.;Autorisation de premières recherches sur l’homme adulte (payé par The Parker Fundation à hauteur de 250 millions de dollars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
