Frise chronologique;;;;;;;;;;;;;;;;;;;;;;;
Dates;1975;1987;1991;1994;1997;2011;2012;janv-13;6 aout 2013;avr-14;2015;mars-15;avr-15;d_c 15;janv-16;fev 2016;mai-16;juin-16;oct-16;nov-16;22 fev 2017;mars-17;avr-17
Pour ;;D_but de la recherche ö lÍorigine de la d_couverte du Crispr;;;;;D_couverte du Crispr-cas9;FZ publie un article r_capitulant tout dans Science;;1er brevet pour FZ;;;Test sur embryon humain en chine par lÍuniversit_ Sun Yat-Sen;;;Rendu du rapport de lÍINSERM;;Autorisation par le NIH de premier test sur adultes - financ_ par la Parker Fundation ö hauteur de 250 millions de $;Monsanto achte les droits;;Rapport du CNCB: chill, la CIA raconte nÍimport quoi;;Eradication du Sida chez une souris au moyen du Crispr 
Pour mais mitig_;Confrence d'Asilomar;;;;;;;;Loi du 6 aout 2013: on touche aux embryons;;;JD initie une pause dans ses recherches pour r_fl_chir.;;Conf_rence internationale initi_e par JD et EC;Loi de modernisation du systme de sant_ en france;;;;;;D_cision du bureau des brevets en faveur de FZ;Rendu du rapport de lÍOPECST;
Contre mais mitig_;;;;;;ratification de la conf_rence d'oviedo par la France ;;;;;Cr_ation du CNCB par la SGDSN pour trancher sur les questions de s_curit_s (en association avec lÍacad_mie des sciences et le HCB);;;;;;;;;Conseil de lÍEurope fait appel ö son comit_ bio_thique (DH - BIO) - on attend toujours son verdict;;;
Contre;;;"LÍUNESCO d_clare le g_nome humain ""patrimoine mondial de lÍhumanit_""";Interdiction de modifier le g_nome dÍun embryon humain qui va naÓtre en France;Conf_rence dÍOviedo (en vigueur en 99);;;;;;;;;;;CIA d_clare le CRISPR-CAS 9 arme de destruction massive;P_tition Alliance Vita (cf article Valeurs Actuelles);;;;;;
titre ;Conf_rence dÍAsilomar;D_but de la recherche ;Le genome entre au patrimoine mondial de l'humanit_;Interdiction de modifier le g_nome dÍun embryon humain qui va naÓtre en France;Convention d'Oviedo;ratification de la convention d'Oviedo par la France ;D_couverte du Crispr-cas9;Feng zang publie un article r_capitulant tout dans Science;Loi du 6 aout 2013: autorisation de test sur embryon;Feng Zang Obtient son brevet pour Crispr cas 9;Cr_ation d'une nouvelles entit_s : Le CNCB e;D_but de la pause dans la recherche autour de CRISPR;Test sur embryon humain en chine par lÍuniversit_ Sun Yat-Sen;Conf_rence internationale initi_e par Jennifer Doudna et Emanuelle Charpentier;Loi de modernisation du systme de sant_ en france;Rendu du rapport de lÍINSERM(;P_tition Alliance Vita; premier test sur adultes ;Monsanto achte les droits;Conseil de lÍEurope fait appel ö son comit_ bio_thique (DH - BIO);Rapport du CNCB ;Rendu du rapport de lÍOPECST;Eradication du Sida chez une souris au moyen du Crispr 
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Description;La conf_rence d'Asilomar a _t_ organis_e en 1974 par Paul Berg (futur prix Nobel de chimie en 1980). Elle appelait ö un moratoire sur les manipulations g_n_tiques, afin d'_viter que des bact_ries g_n_tiquement modifi_es puissent se disperser dans l'environnement;L'histoire de cette d_couverte remonyte a 1987 avec Atsuo Nakata chercheur a l'universit_ d'osaka au japon. Cette d_couverte resta silencieuse pendant prs de 20 ans jusquÍö ce qu'une _quipe se penche a nouveau sur le sujet. Il faudra encore attendre 2012 pour voir la d_couverte qui fait de CRISPR une telle r_volution. ;"L'UNESCO d_clare le g_nome humain ""patrimoine mondiale de l'humanit_ "" ce qui souligne ‚ la valeur exceptionnelle de ce qui doit tre prot_g_ et transmis aux g_n_rations futures é. ";Cette loi fut revu plusieurs fois nottament en 2004 et 2006. Un amendement adopt_ lors du d_bat en premire lecture au S_nat modifiait le r_gime des recherches sur lÍembryon et les cellules souches embryonnaires en les soumettant ö un r_gime dÍautorisation r_glement_e. LÍAssembl_e nationale a r_tabli un r_gime dÍinterdiction pour ces recherches, avec possibilit_ de quelques d_rogations.;La Convention d'Oviedo est la Convention pour la protection des droits de lÍHomme et de la dignit_ de lÍtre humain en rapport avec les applications de la biologie et de la m_decine. Elle a _t_ sign_e le 4 avril 1997 ö Oviedo, en Espagne. Elle est entr_e en vigeur en 1999. Cette convention part du principe que lÍint_rt de lÍtre humain pr_vaut sur lÍint_rt de la science (article 2). Elle interdit toute forme de discrimination ö lÍ_gard dÍune personne en raison de son patrimoine g_n_tique (article 11) et nÍautorise les tests g_n_tiques que lorsquÍils sont justifi_s sur le plan m_dical (pr_venir des maladies g_n_tiques graves). Concernant les interventions sur le g_nome humain, elles ne peuvent tre entreprises quÍö des fins pr_ventives, diagnostiques et th_rapeutiques et seulement si elles nÍentraÓnent pas de modification dans le g_nome de la descendance (article 13);La France rejoins seulement 14 ans aprs les nations ayant sign_ cette convention. Qui n'as encore _t_ ratifi_e que par peu de pays. (voir Convention d'ovideo pour plus de d_tails);D_but de la r_volution Crispr. 2 chercheuse mettent au point une technique de modification g_n_tique peu couteuse et efficace. C'est cette dernire qui fait d_bat car elle pourrait permmetre la cr_ation de nouveau OGM et de B_b_ genetiquement modifi_. Ce sont 2 questions qui font nottament d_bat.  ;Feng zang , chercheur au Broad institue a lui aussi _tudi_ CrISPR cas 9. Il est ö l'origine d'une guerre des brevets avec les 2 chercheuses. Les premires d_cision de justice ont _t_ rendu il y a peu.;La recherche sur les embryons et les cellules souches embryonnaires est globalement autoris_ sous certaines conditions relativement contraignantes ;"Lancement officiel de la ""guerre des brevets"". Feng Zang obtient en effet son brevet avant les 2 chercheuses alors qu'elles avaient d_pos_ leur demande avant. Cela arrive car F. Zange et son _quipe sont pass_ par une voie rapide en payant plus cher leur demande de brevet.";Le CNCB ( Conseil National Consulatif pour la bios_curit_) est fond_ par la SGDSN( secretariat g_n_ral pour la d_fense et la s_curit_ nationale) et le HCB (Haut conseil des biotechnologie) pour r_pondre aux question de biosecurit_ ( ici on pense au bioterrorisme a base de virus/ bact_rie g_n_tiquement modifi_) concernant CRISPR. ;Jennifer Doudna , une des chercheuse ayant d_couvert CRISPR cas 9 initie une pause dans la recherche autour de CRISPR pour prendre le temps de reflechir aux enjeux ethiques de cette d_couvertes et aux suites de ce projet. ;En chine , les test sur les embryons sont moins r_gul_ et c'est pourquoi ils sont les premiers ö se lancer dans ces test. ;Cette Conf_rence a _t_ organis_ pour permettre aux scientifique de se rassembler et de discuter des questions _thiques autour de CRISPR , 9 mois aprs le d_but de la pause , lanc_ par Jennifer Doudna. ;"une disposition qui permet, dans le cadre de lÍassistance m_dicale ö la procr_ation et avec le consentement des membres du couple, la r_alisation de recherches biom_dicales sur des gamtes destin_s ö constituer un embryon ou sur un embryon in-vitro avant ou aprs son transfert ö des fins de gestation. Le  d_but des ""Design Babies"" ?  ";"Recommandations du comit_ dÍ_thique de lÍInsermLe comit_ propose dans lÍimm_diat que lÍInserm adopte les principes suivants :1 - Encourager une recherche dont lÍobjectif est dÍ_valuer lÍefficacit_ et lÍinnocuit_ de la technologie CRISPR et des autres technologies dÍ_dition du g_nome r_cemment publi_es, dans des modles exp_rimentaux pouvant permettre au cas par cas de d_terminer la balance b_n_fice/risque dÍune application th_rapeutique y compris _ventuellement sur des cellules germinales et lÍembryon. Cette information est essentielle pour pouvoir d_finir, dans le futur, ce qui pourrait tre autoris_ chez lÍhomme en termes dÍapproches th_rapeutiques.2 - Les effets potentiellement ind_sirables du guidage de gnes doivent tre _valu_s avant toute utilisation hors dÍun laboratoire respectant des rgles de confinement d_jö en vigueur pour dÍautres modifications g_n_tiques. Les _valuations doivent se faire sur des p_riodes longues compte-tenu du caractre transmissible du gne guide. Des mesures de r_versibilit_ devraient tre pr_vues en cas dÍ_chappement ou dÍeffet ind_sirable. De telles analyses et lÍ_laboration de sc_narios multiples n_cessitent la constitution dÍ_quipes pluridisciplinaires.3 - Respecter lÍinterdiction de toute modification du g_nome nucl_aire germinal ö vis_e reproductive dans lÍespce humaine, et nÍappuyer aucune demande de modification des conditions l_gales avant que les incertitudes concernant les risques ne soient clairement _valu_es, et avant quÍune concertation _largie incluant les multiples partenaires de la soci_t_ civile nÍait statu_ sur ce sc_nario.4 - Participer ö toute initiative nationale ou internationale qui traiterait les questions de libert_ de la recherche et dÍ_thique m_dicale y compris avec les pays _mergents qui seront _galement impact_s par le d_veloppement des technologies dÍ_dition du g_nome.5 - Enfin attirer lÍattention sur la question plus philosophique qui met en tension la plasticit_ du vivant avec lÍid_e dÍune nature humaine fond_e sur le seul invariant biologique. Il convient de susciter une conscience qui fasse la part de lÍutopie et des dystopies que peuvent engendrer certaines promesses th_rapeutiques.";Alliance Vita , une association citoyenne lance la premire p_titions contre CRISPR cas 9 , pour _viter toute d_rive eugenique. De plus le fait que les OGM modifi_ par CRISPR ne soit pas _tiquett_ comme tels ne leur semple pas normal. ;La parker fondation finance les premiers test sur les adultes qui sont autoris_ aux Etats-Unis par le NIH ( National institute of Health ).;L'entreprise am_ricaine Monsanto, D_jö au cìur des d_bats sur les OGM , a rachet_ les droit d'exploitation de CRISPR cas 9 sous certaines formes.Gräce ö cet accord non exclusif, la firme (sur le point de se faire racheter par la compagnie chimique et pharmaceutique allemande Bayer) espre concevoir des v_g_taux d'un genre nouveau capables d'une plus grande productivit_.Le but est encore une fois de produire des v_g_taux plus resistants aux intemp_ries et autres.;  Le verdict du comit_ est toujours en attente. ;LE CNCB tente d'expliquer que la developpement d'arme chimique pour le bioterroriseme ne sera pas aussi facile que ce que pense la CIA. ;Il faut faire des efforts sur la recherche donc il faut autoriser la recherche sur les cellules sommatique mais ne pas toucher aux cellules germinales. Ils soutiennent _galement les Prix nobel qui encourage la recherche sur les OGM.;Une _quie de chercehur a r_ussi ö soigner pour la premire fois une souris atteinte du SIDA en utilisant CRISPR cas 9. Cela montre bien la valeur de ce traitement et la r_volution qu'est CRISPR  
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
