Frise chronologique;;;;;;;;;;;;;;;;;;;;;;;
Dates;1975;1987;1991;1994;1997;2011;2012;janv-13;6 aout 2013;avr-14;2015;mars-15;avr-15;déc 15;janv-16;fev 2016;mai-16;juin-16;oct-16;nov-16;22 fev 2017;mars-17;avr-17
Pour ;;Début de la recherche à l’origine de la découverte du Crispr;;;;;Découverte du Crispr-cas9;FZ publie un article récapitulant tout dans Science;;1er brevet pour FZ;;;Test sur embryon humain en chine par l'université Sun Yat-Sen;;;Rendu du rapport de l'INSERM;;Autorisation par le NIH de premier test sur adultes - financé par la Parker Fundation à hauteur de 250 millions de $;Monsanto achète les droits;;Rapport du CNCB: chill, la CIA raconte n'import quoi;;Eradication du Sida chez une souris au moyen du Crispr 
Pour mais mitigé;Conférence d'Asilomar;;;;;;;;Loi du 6 aout 2013: on touche aux embryons;;;JD initie une pause dans ses recherches pour réfléchir.;;Conférence internationale initiée par JD et EC;Loi de modernisation du système de santé en france;;;;;;Décision du bureau des brevets en faveur de FZ;Rendu du rapport de l'OPECST;
Contre mais mitigé;;;;;;ratification de la conférence d'oviedo par la France ;;;;;Création du CNCB par la SGDSN pour trancher sur les questions de sécurités (en association avec l'académie des sciences et le HCB);;;;;;;;;Conseil de l'Europe fait appel à son comité bioéthique (DH - BIO) - on attend toujours son verdict;;;
Contre;;;"L'UNESCO déclare le génome humain ""patrimoine mondial de l'humanité""";Interdiction de modifier le génome d'un embryon humain qui va na”tre en France;Conférence d'Oviedo (en vigueur en 99);;;;;;;;;;;CIA déclare le CRISPR-CAS 9 arme de destruction massive;Pétition Alliance Vita (cf article Valeurs Actuelles);;;;;;
titre ;Conférence d’Asilomar;Début de la recherche ;Le génome entre au patrimoine mondial de l'humanité;Interdiction de modifier le génome d'un embryon humain qui va na”tre en France;Convention d'Oviedo;ratification de la convention d'Oviedo par la France ;Découverte du Crispr-cas9;Feng zang publie un article récapitulant tout dans Science;Loi du 6 aout 2013: autorisation de test sur embryon;Feng Zang Obtient son brevet pour Crispr cas 9;Création d'une nouvelles entités : Le CNCB e;Dàbut de la pause dans la recherche autour de CRISPR;Test sur embryon humain en chine par l'université Sun Yat-Sen;Conférence internationale initiée par Jennifer Doudna et Emanuelle Charpentier;Loi de modernisation du système de santé en france;Rendu du rapport de l'INSERM(;Pétition Alliance Vita; premier test sur adultes ;Monsanto achète les droits;Conseil de l'Europe fait appel à son comité bioéthique (DH - BIO);Rapport du CNCB ;Rendu du rapport de l'OPECST;Eradication du Sida chez une souris au moyen du Crispr 
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Description;La conférence d'Asilomar a été organisée en 1974 par Paul Berg (futur prix Nobel de chimie en 1980). Elle appelait à un moratoire sur les manipulations génétiques, afin d'éviter que des bactéries génétiquement modifiées puissent se disperser dans l'environnement;L'histoire de cette découverte remonyte a 1987 avec Atsuo Nakata chercheur a l'université d'osaka au japon. Cette découverte resta silencieuse pendant près de 20 ans jusqu'à ce qu'une équipe se penche a nouveau sur le sujet. Il faudra encore attendre 2012 pour voir la découverte qui fait de CRISPR une telle révolution. ;"L'UNESCO déclare le génome humain ""patrimoine mondiale de l'humanité "" ce qui souligne Ç la valeur exceptionnelle de ce qui doit être protégé et transmis aux générations futures È. ";Cette loi fut revu plusieurs fois nottament en 2004 et 2006. Un amendement adopté lors du débat en première lecture au Sénat modifiait le régime des recherches sur l'embryon et les cellules souches embryonnaires en les soumettant à un régime d'autorisation réglementée. L'Assemblée nationale a rétabli un régime d'interdiction pour ces recherches, avec possibilité de quelques dérogations.;La Convention d'Oviedo est la Convention pour la protection des droits de l'Homme et de la dignité de l'être humain en rapport avec les applications de la biologie et de la médecine. Elle a été signée le 4 avril 1997 à Oviedo, en Espagne. Elle est entrée en vigeur en 1999. Cette convention part du principe que l'intérêt de l'être humain prévaut sur l'intérêt de la science (article 2). Elle interdit toute forme de discrimination à l'égard d'une personne en raison de son patrimoine génétique (article 11) et n'autorise les tests génétiques que lorsqu'ils sont justifiés sur le plan médical (prévenir des maladies génétiques graves). Concernant les interventions sur le génome humain, elles ne peuvent être entreprises qu'à des fins préventives, diagnostiques et thérapeutiques et seulement si elles n'entra”nent pas de modification dans le génome de la descendance (article 13);La France rejoins seulement 14 ans après les nations ayant signé cette convention. Qui n'as encore été ratifiée que par peu de pays. (voir Convention d’Oviedo pour plus de détails);Début de la révolution Crispr. 2 chercheuse mettent au point une technique de modification génétique peu couteuse et efficace. C'est cette dernière qui fait débat car elle pourrait permmetre la création de nouveau OGM et de Bébé genetiquement modifié. Ce sont 2 questions qui font nottament débat.  ;Feng zang , chercheur au Broad institue a lui aussi étudié CrISPR cas 9. Il est à l'origine d'une guerre des brevets avec les 2 chercheuses. Les premières décision de justice ont été rendu il y a peu.;La recherche sur les embryons et les cellules souches embryonnaires est globalement autorisé sous certaines conditions relativement contraignantes ;"Lancement officiel de la ""guerre des brevets"". Feng Zang obtient en effet son brevet avant les 2 chercheuses alors qu'elles avaient déposé leur demande avant. Cela arrive car F. Zange et son équipe sont passé par une voie rapide en payant plus cher leur demande de brevet.";Le CNCB ( Conseil National Consulatif pour la biosécurité) est fondé par la SGDSN( secretariat général pour la défense et la sécurité nationale) et le HCB (Haut conseil des biotechnologie) pour répondre aux question de biosecurité ( ici on pense au bioterrorisme a base de virus/ bactérie génétiquement modifié) concernant CRISPR. ;Jennifer Doudna , une des chercheuse ayant découvert CRISPR cas 9 initie une pause dans la recherche autour de CRISPR pour prendre le temps de réfléchir aux enjeux ethiques de cette découvertes et aux suites de ce projet. ;En chine , les test sur les embryons sont moins régulé et c'est pourquoi ils sont les premiers à se lancer dans ces test. ;Cette Conférence a été organisé pour permettre aux scientifique de se rassembler et de discuter des questions éthiques autour de CRISPR , 9 mois après le début de la pause , lancé par Jennifer Doudna. ;"une disposition qui permet, dans le cadre de l'assistance médicale à la procréation et avec le consentement des membres du couple, la réalisation de recherches biomédicales sur des gamètes destinés à constituer un embryon ou sur un embryon in-vitro avant ou après son transfert à des fins de gestation. Le  début des ""Design Babies"" ?  ";"Recommandations du comité d'éthique de l'InsermLe comité propose dans l'immédiat que l'Inserm adopte les principes suivants :1 - Encourager une recherche dont l'objectif est d'évaluer l'efficacité et l'innocuité de la technologie CRISPR et des autres technologies d'édition du génome récemment publiées, dans des modèles expérimentaux pouvant permettre au cas par cas de déterminer la balance bénéfice/risque d'une application thérapeutique y compris éventuellement sur des cellules germinales et l'embryon. Cette information est essentielle pour pouvoir définir, dans le futur, ce qui pourrait être autorisé chez l'homme en termes d'approches thérapeutiques.2 - Les effets potentiellement indésirables du guidage de gènes doivent être évalués avant toute utilisation hors d'un laboratoire respectant des règles de confinement déjà en vigueur pour d'autres modifications génétiques. Les évaluations doivent se faire sur des périodes longues compte-tenu du caractère transmissible du gène guide. Des mesures de réversibilité devraient être prévues en cas d'échappement ou d'effet indésirable. De telles analyses et l'élaboration de scénarios multiples nécessitent la constitution d'équipes pluridisciplinaires.3 - Respecter l'interdiction de toute modification du génome nucléaire germinal à visée reproductive dans l'espèce humaine, et n'appuyer aucune demande de modification des conditions légales avant que les incertitudes concernant les risques ne soient clairement évaluées, et avant qu'une concertation élargie incluant les multiples partenaires de la société civile n'ait statué sur ce scénario.4 - Participer à toute initiative nationale ou internationale qui traiterait les questions de liberté de la recherche et d'éthique médicale y compris avec les pays émergents qui seront également impactés par le développement des technologies d'édition du génome.5 - Enfin attirer l'attention sur la question plus philosophique qui met en tension la plasticité du vivant avec l'idée d'une nature humaine fondée sur le seul invariant biologique. Il convient de susciter une conscience qui fasse la part de l'utopie et des dystopies que peuvent engendrer certaines promesses thérapeutiques.";Alliance Vita , une association citoyenne lance la première pétitions contre CRISPR cas 9 , pour éviter toute dérive eugenique. De plus le fait que les OGM modifié par CRISPR ne soit pas étiquetté comme tels ne leur semple pas normal. ;La parker fondation finance les premiers test sur les adultes qui sont autorisé aux Etats-Unis par le NIH ( National institute of Health ).;L'entreprise américaine Monsanto, Déjà au cÏur des débats sur les OGM , a racheté les droit d'exploitation de CRISPR cas 9 sous certaines formes.Gr‰ce à cet accord non exclusif, la firme (sur le point de se faire racheter par la compagnie chimique et pharmaceutique allemande Bayer) espère concevoir des végétaux d'un genre nouveau capables d'une plus grande productivité.Le but est encore une fois de produire des végétaux plus résistants aux intempéries et autres.;  Le verdict du comité est toujours en attente. ;LE CNCB tente d'expliquer que la developpement d'arme chimique pour le bioterroriseme ne sera pas aussi facile que ce que pense la CIA. ;Il faut faire des efforts sur la recherche donc il faut autoriser la recherche sur les cellules sommatique mais ne pas toucher aux cellules germinales. Ils soutiennent également les Prix nobel qui encourage la recherche sur les OGM.;Une équie de chercehur a réussi à soigner pour la première fois une souris atteinte du SIDA en utilisant CRISPR cas 9. Cela montre bien la valeur de ce traitement et la révolution qu'est CRISPR  
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
